8	1	14	10	5	7	12	4
2	5	15	11	6	14	13	16
3	16	13	6	15	8	10	9
7	4	12	9	11	3	2	1
4	15	9	5	1	10	3	11
10	6	7	14	12	5	4	8
13	12	8	2	9	16	15	7
16	3	11	1	13	2	14	6


9	3	6	11	15	13	16	2
10	8	1	12	4	3	9	7
2	4	5	7	11	1	14	12
14	16	15	13	5	10	6	8
12	13	16	8	14	7	2	6
11	2	3	9	1	16	13	15
6	1	4	14	10	5	3	11
5	7	10	15	9	8	12	4


14	11	1	8	16	15	5	12
9	10	5	4	2	11	6	13
15	2	3	13	4	9	7	10
6	7	16	12	3	1	8	14
11	8	4	3	10	12	1	2
12	9	10	16	7	6	11	15
1	13	6	15	14	4	9	5
5	14	2	7	8	13	16	3


7	9	2	3	6	4	10	13
16	12	14	1	8	15	7	3
8	5	11	6	16	12	1	14
4	15	13	10	2	9	11	5
15	6	7	16	13	14	5	9
13	14	8	5	3	1	4	1
3	10	12	2	7	11	8	16
1	11	9	4	12	6	15	10
